"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"98",0.05218,0.04601,0.02292,0.15713,0.09722,0.08842,0.04016,0.03774,0.14083,0.13468,0.09279,0.0197,0.02298,0.02314,0.02409
"99",0.03102,0.03521,0.04087,0.10226,0.01915,0.08502,0.03409,0.22902,0.11594,0.20052,0.01698,0.0197,0.02298,0.02314,0.02409
"100",0.05427,0.03171,0.07724,0.05471,0.08012,0.04136,0.11562,0.30516,0.02761,0.02404,0.09825,0.0197,0.02298,0.02314,0.02409
"101",0.03147,0.02067,0.01667,0.14316,0.13795,0.1415,0.03516,0.14733,0.09394,0.09712,0.04511,0.0197,0.02298,0.02314,0.02409
"102",0.05672,0.03179,0.03662,0.05999,0.04915,0.14415,0.15622,0.03091,0.15698,0.11598,0.07158,0.0197,0.02298,0.02314,0.02409
"103",0.04592,0.01667,0.01799,0.06735,0.14854,0.03364,0.14088,0.17502,0.09937,0.02663,0.13808,0.0197,0.02298,0.02314,0.02409
"104",0.02631,0.04119,0.02627,0.01667,0.04826,0.09575,0.11067,0.22748,0.13929,0.1032,0.075,0.0197,0.02298,0.02314,0.02409
"105",0.01667,0.0312,0.02745,0.14512,0.02009,0.07212,0.08716,0.05885,0.12687,0.07042,0.25414,0.0197,0.02298,0.02314,0.02409
"106",0.02984,0.03713,0.05412,0.11982,0.01667,0.13495,0.16162,0.04493,0.18435,0.07453,0.05211,0.0197,0.02298,0.02314,0.02409
"107",0.01933,0.0362,0.01667,0.1458,0.04168,0.17212,0.02148,0.12277,0.05449,0.16805,0.1115,0.0197,0.02298,0.02314,0.02409
"108",0.01667,0.03748,0.07517,0.02309,0.10399,0.14497,0.07119,0.04793,0.07233,0.29388,0.02339,0.0197,0.02298,0.02314,0.02409
"109",0.04497,0.02673,0.07475,0.01667,0.17988,0.04602,0.03257,0.16849,0.17504,0.05238,0.09259,0.0197,0.02298,0.02314,0.02409
"110",0.02132,0.05958,0.06241,0.04066,0.0351,0.09355,0.02523,0.05787,0.23742,0.0535,0.22345,0.0197,0.02298,0.02314,0.02409
"111",0.05672,0.04772,0.03337,0.07971,0.03499,0.18787,0.08771,0.08361,0.02218,0.07692,0.19929,0.0197,0.02298,0.02314,0.02409
"112",0.01667,0.02187,0.02347,0.11402,0.0296,0.02623,0.02221,0.3866,0.14823,0.05271,0.06848,0.0197,0.02298,0.02314,0.02409
"113",0.02263,0.02161,0.06198,0.03097,0.02887,0.18808,0.14196,0.1311,0.01667,0.0498,0.21641,0.0197,0.02298,0.02314,0.02409
"114",0.05672,0.04135,0.07061,0.02641,0.08796,0.16668,0.1311,0.06149,0.17012,0.03932,0.05833,0.0197,0.02298,0.02314,0.02409
"115",0.05436,0.05958,0.07154,0.08345,0.04507,0.21629,0.05876,0.06749,0.085,0.11896,0.04958,0.0197,0.02298,0.02314,0.02409
"116",0.02505,0.05059,0.01787,0.02286,0.13437,0.09622,0.25021,0.13492,0.03709,0.0231,0.1178,0.0197,0.02298,0.02314,0.02409
"117",0.02619,0.03826,0.06874,0.08441,0.08878,0.17681,0.03888,0.01667,0.13462,0.06867,0.16805,0.0197,0.02298,0.02314,0.02409
"118",0.02757,0.02953,0.02391,0.11542,0.04497,0.02114,0.10957,0.01667,0.43312,0.04701,0.04117,0.0197,0.02298,0.02314,0.02409
"119",0.04689,0.01667,0.0565,0.05743,0.07527,0.07389,0.06363,0.05943,0.12902,0.31038,0.02097,0.0197,0.02298,0.02314,0.02409
"120",0.01667,0.03461,0.04307,0.08168,0.02499,0.10976,0.17609,0.03447,0.15144,0.04426,0.19303,0.0197,0.02298,0.02314,0.02409
"121",0.03125,0.05958,0.07225,0.08838,0.06635,0.10173,0.0981,0.07523,0.18882,0.04641,0.08199,0.0197,0.02298,0.02314,0.02409
"122",0.05672,0.05686,0.02753,0.05045,0.13104,0.03668,0.05898,0.04596,0.21276,0.18285,0.05026,0.0197,0.02298,0.02314,0.02409
"123",0.02492,0.05526,0.03022,0.12038,0.18894,0.10183,0.0588,0.05494,0.08219,0.10451,0.0881,0.0197,0.02298,0.02314,0.02409
"124",0.01834,0.01667,0.02332,0.04634,0.14489,0.15586,0.07607,0.0356,0.30724,0.05856,0.0272,0.0197,0.02298,0.02314,0.02409
"125",0.03953,0.02017,0.03254,0.04396,0.14464,0.13453,0.16793,0.04122,0.14922,0.01667,0.11968,0.0197,0.02298,0.02314,0.02409
"126",0.03305,0.0385,0.01667,0.05638,0.13518,0.02241,0.09326,0.0191,0.04019,0.26025,0.19509,0.0197,0.02298,0.02314,0.02409
"127",0.01667,0.04898,0.07925,0.08328,0.03777,0.14314,0.13231,0.20261,0.02926,0.05087,0.08596,0.0197,0.02298,0.02314,0.02409
"128",0.02525,0.0372,0.01667,0.17479,0.09851,0.11711,0.03342,0.08752,0.09671,0.12139,0.10152,0.0197,0.02298,0.02314,0.02409
"129",0.05672,0.03041,0.04696,0.0388,0.0361,0.11525,0.08665,0.18497,0.18672,0.09924,0.02827,0.0197,0.02298,0.02314,0.02409
"130",0.04045,0.05958,0.07417,0.08331,0.05729,0.04089,0.1077,0.02714,0.20468,0.16284,0.05205,0.0197,0.02298,0.02314,0.02409
"131",0.05594,0.02044,0.08019,0.12829,0.01842,0.06285,0.18748,0.24391,0.03737,0.02658,0.04862,0.0197,0.02298,0.02314,0.02409
"132",0.03649,0.02161,0.06723,0.08787,0.13071,0.01667,0.15819,0.0635,0.02956,0.0655,0.23274,0.0197,0.02298,0.02314,0.02409
"133",0.04724,0.0456,0.06149,0.06685,0.01667,0.01963,0.13008,0.27508,0.02111,0.13425,0.09206,0.0197,0.02298,0.02314,0.02409
"134",0.03093,0.04856,0.01667,0.03167,0.14325,0.0171,0.05947,0.13104,0.27531,0.0651,0.09098,0.0197,0.02298,0.02314,0.02409
"135",0.01667,0.03262,0.04406,0.11748,0.17432,0.15226,0.11377,0.04786,0.1259,0.05989,0.02525,0.0197,0.02298,0.02314,0.02409
"136",0.03706,0.01667,0.03048,0.06484,0.11063,0.15794,0.0347,0.06673,0.21015,0.08675,0.09413,0.0197,0.02298,0.02314,0.02409
"137",0.05672,0.03324,0.06654,0.0288,0.10731,0.13566,0.0544,0.12313,0.20643,0.07631,0.02153,0.0197,0.02298,0.02314,0.02409
"138",0.04109,0.02166,0.02,0.01973,0.01667,0.05736,0.02361,0.14361,0.2679,0.18911,0.10934,0.0197,0.02298,0.02314,0.02409
"139",0.02621,0.02693,0.06952,0.12579,0.15894,0.20315,0.01667,0.09264,0.05396,0.04341,0.09285,0.0197,0.02298,0.02314,0.02409
"140",0.02208,0.02294,0.03688,0.01667,0.06148,0.1049,0.09048,0.17382,0.25337,0.10967,0.01779,0.0197,0.02298,0.02314,0.02409
"141",0.01857,0.05749,0.01667,0.02299,0.0517,0.199,0.08916,0.13613,0.04549,0.21462,0.05827,0.0197,0.02298,0.02314,0.02409
"142",0.05672,0.05669,0.03774,0.11675,0.06337,0.14329,0.01897,0.11233,0.07973,0.05526,0.16924,0.0197,0.02298,0.02314,0.02409
"143",0.02352,0.05958,0.01832,0.11436,0.09383,0.15729,0.09294,0.05127,0.1471,0.03479,0.11708,0.0197,0.02298,0.02314,0.02409
"144",0.04564,0.02826,0.03828,0.07375,0.13037,0.01727,0.20685,0.2171,0.06463,0.01667,0.07125,0.0197,0.02298,0.02314,0.02409
"145",0.02514,0.03905,0.06799,0.09765,0.04868,0.10306,0.08675,0.05079,0.01667,0.34117,0.03313,0.0197,0.02298,0.02314,0.02409
"146",0.04726,0.04651,0.04087,0.12225,0.02057,0.01667,0.06613,0.2989,0.06835,0.03685,0.14572,0.0197,0.02298,0.02314,0.02409
"147",0.05023,0.01667,0.06291,0.04629,0.1401,0.20507,0.03573,0.05207,0.16493,0.05653,0.07956,0.0197,0.02298,0.02314,0.02409
"148",0.03097,0.01667,0.05369,0.07091,0.06745,0.13272,0.02519,0.08413,0.05984,0.04304,0.32548,0.0197,0.02298,0.02314,0.02409
"149",0.02435,0.05378,0.06035,0.01667,0.05653,0.04437,0.12602,0.02699,0.14346,0.28204,0.07552,0.0197,0.02298,0.02314,0.02409
"150",0.02035,0.04378,0.04555,0.04808,0.04941,0.11179,0.0841,0.01667,0.35373,0.09487,0.04175,0.0197,0.02298,0.02314,0.02409
"151",0.0437,0.05146,0.04322,0.02289,0.01667,0.08827,0.22855,0.02516,0.06297,0.05649,0.27071,0.0197,0.02298,0.02314,0.02409
"152",0.04998,0.03282,0.02322,0.01667,0.13905,0.0926,0.16738,0.06552,0.05986,0.07371,0.18929,0.0197,0.02298,0.02314,0.02409
"153",0.01667,0.04349,0.03685,0.0819,0.06369,0.03205,0.04914,0.07767,0.20566,0.18057,0.12238,0.0197,0.02298,0.02314,0.02409
"154",0.01667,0.02466,0.02316,0.07254,0.04673,0.09685,0.07596,0.15829,0.04914,0.10299,0.2431,0.0197,0.02298,0.02314,0.02409
"155",0.03268,0.04919,0.04385,0.02626,0.03354,0.22281,0.07206,0.02523,0.16446,0.12259,0.11741,0.0197,0.02298,0.02314,0.02409
"156",0.05672,0.04004,0.06281,0.03819,0.02336,0.09408,0.2015,0.07179,0.08465,0.19822,0.03873,0.0197,0.02298,0.02314,0.02409
"157",0.0342,0.01667,0.07436,0.11392,0.10384,0.1441,0.04841,0.22547,0.02752,0.09962,0.02197,0.0197,0.02298,0.02314,0.02409
"158",0.05383,0.05028,0.04507,0.08119,0.02446,0.22281,0.11204,0.14273,0.03911,0.10393,0.03462,0.0197,0.02298,0.02314,0.02409
"159",0.02971,0.03086,0.03625,0.1057,0.06013,0.13148,0.11752,0.0856,0.01667,0.11818,0.17797,0.0197,0.02298,0.02314,0.02409
"160",0.02933,0.05803,0.05388,0.11103,0.01667,0.07932,0.13302,0.02643,0.04509,0.11039,0.2469,0.0197,0.02298,0.02314,0.02409
"161",0.03639,0.01667,0.06197,0.02529,0.09996,0.03782,0.1247,0.03877,0.08075,0.29136,0.0964,0.0197,0.02298,0.02314,0.02409
"162",0.04293,0.02921,0.04104,0.09247,0.05501,0.07034,0.12011,0.01667,0.15803,0.23409,0.05019,0.0197,0.02298,0.02314,0.02409
"163",0.01667,0.02862,0.0173,0.02604,0.16889,0.03808,0.22936,0.06226,0.02251,0.15702,0.14334,0.0197,0.02298,0.02314,0.02409
"164",0.03187,0.05958,0.03934,0.15748,0.12538,0.17412,0.18228,0.02295,0.05339,0.02587,0.03782,0.0197,0.02298,0.02314,0.02409
"165",0.02638,0.05604,0.06077,0.05727,0.06831,0.01667,0.09685,0.15953,0.03334,0.10879,0.22612,0.0197,0.02298,0.02314,0.02409
"166",0.0256,0.05144,0.01667,0.08977,0.05224,0.05188,0.14686,0.07534,0.14254,0.10789,0.14985,0.0197,0.02298,0.02314,0.02409
"167",0.04299,0.01667,0.03496,0.10156,0.01786,0.12757,0.19786,0.08633,0.07926,0.11899,0.08603,0.0197,0.02298,0.02314,0.02409
"168",0.01992,0.02537,0.02916,0.02248,0.02716,0.09248,0.01667,0.04719,0.30699,0.12534,0.19734,0.0197,0.02298,0.02314,0.02409
"169",0.03831,0.02286,0.01667,0.01704,0.09111,0.09863,0.12494,0.23018,0.20421,0.03472,0.03141,0.0197,0.02298,0.02314,0.02409
"170",0.04039,0.05958,0.04675,0.05152,0.03692,0.09692,0.04612,0.01917,0.28289,0.05769,0.17213,0.0197,0.02298,0.02314,0.02409
"171",0.03127,0.05958,0.07973,0.09469,0.01968,0.01913,0.04235,0.39022,0.02718,0.03422,0.11202,0.0197,0.02298,0.02314,0.02409
"172",0.05066,0.04802,0.05261,0.08772,0.09867,0.12594,0.13381,0.06885,0.2079,0.01925,0.01667,0.0197,0.02298,0.02314,0.02409
"173",0.04445,0.01667,0.06077,0.13015,0.07595,0.05595,0.10532,0.24889,0.10038,0.05223,0.01934,0.0197,0.02298,0.02314,0.02409
"174",0.05672,0.04506,0.06407,0.08823,0.03979,0.1218,0.1278,0.02995,0.18185,0.0174,0.13742,0.0197,0.02298,0.02314,0.02409
"175",0.05583,0.01667,0.06548,0.099,0.02847,0.01849,0.03059,0.18287,0.04944,0.28407,0.0792,0.0197,0.02298,0.02314,0.02409
"176",0.02764,0.0401,0.01667,0.05652,0.12033,0.02022,0.06499,0.06445,0.18553,0.01685,0.29677,0.0197,0.02298,0.02314,0.02409
