"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"122",0.02502,0.14337,0.04677,0.05215,0.17239,0.11823,0.0252,0.04885,0.03366,0.11091,0.10486,0.02798,0.02812,0.0302,0.03229
"123",0.02615,0.02619,0.02552,0.06505,0.02502,0.03291,0.15653,0.06534,0.24622,0.172,0.04049,0.02798,0.02812,0.0302,0.03229
"124",0.12793,0.04419,0.08739,0.09199,0.0414,0.17159,0.07478,0.02502,0.08511,0.07499,0.05701,0.02798,0.02812,0.0302,0.03229
"125",0.04951,0.08537,0.08519,0.09974,0.05002,0.17447,0.02502,0.10186,0.06726,0.09235,0.05061,0.02798,0.02812,0.0302,0.03229
"126",0.09492,0.05876,0.03413,0.04758,0.02502,0.14109,0.07197,0.09299,0.08791,0.1621,0.06494,0.02798,0.02812,0.0302,0.03229
"127",0.04211,0.09875,0.14254,0.09879,0.03301,0.12429,0.08616,0.10042,0.02502,0.06995,0.06037,0.02798,0.02812,0.0302,0.03229
"128",0.03806,0.12946,0.04108,0.02555,0.0263,0.1917,0.02933,0.02502,0.08598,0.22485,0.06405,0.02798,0.02812,0.0302,0.03229
"129",0.04879,0.05595,0.11191,0.13218,0.06146,0.06661,0.22638,0.049,0.02502,0.06995,0.03414,0.02798,0.02812,0.0302,0.03229
"130",0.03745,0.04477,0.11875,0.02502,0.10935,0.04451,0.04546,0.0494,0.08488,0.23283,0.08899,0.02798,0.02812,0.0302,0.03229
"131",0.03226,0.05118,0.02502,0.0447,0.03366,0.09408,0.09673,0.14144,0.11947,0.04288,0.19999,0.02798,0.02812,0.0302,0.03229
"132",0.05413,0.10054,0.07048,0.04957,0.03967,0.12019,0.3158,0.03241,0.03638,0.02502,0.03722,0.02798,0.02812,0.0302,0.03229
"133",0.07987,0.1329,0.0332,0.02873,0.05504,0.13325,0.02502,0.1818,0.07565,0.03634,0.09962,0.02798,0.02812,0.0302,0.03229
"134",0.05064,0.02643,0.06973,0.17505,0.03754,0.02502,0.10539,0.15736,0.05764,0.1064,0.07019,0.02798,0.02812,0.0302,0.03229
"135",0.12103,0.02767,0.03158,0.02502,0.12145,0.11838,0.02914,0.05917,0.14492,0.11768,0.08538,0.02798,0.02812,0.0302,0.03229
"136",0.05785,0.11376,0.02502,0.04576,0.11425,0.05808,0.17668,0.07623,0.10007,0.04286,0.07083,0.02798,0.02812,0.0302,0.03229
"137",0.026,0.10797,0.07568,0.0863,0.07633,0.07444,0.06906,0.16954,0.11903,0.02502,0.05204,0.02798,0.02812,0.0302,0.03229
"138",0.07867,0.02502,0.09223,0.02615,0.02861,0.12737,0.1654,0.05592,0.14956,0.03056,0.10192,0.02798,0.02812,0.0302,0.03229
"139",0.03709,0.05372,0.03706,0.09466,0.18776,0.02502,0.16316,0.06092,0.05293,0.11053,0.05855,0.02798,0.02812,0.0302,0.03229
"140",0.04924,0.14765,0.0885,0.03936,0.06238,0.11808,0.02696,0.04602,0.0791,0.15947,0.06465,0.02798,0.02812,0.0302,0.03229
"141",0.08414,0.04919,0.04876,0.12772,0.09039,0.02502,0.05304,0.03269,0.0923,0.171,0.10716,0.02798,0.02812,0.0302,0.03229
"142",0.03455,0.03137,0.04306,0.21013,0.05319,0.03032,0.03413,0.03982,0.03624,0.2066,0.16201,0.02798,0.02812,0.0302,0.03229
"143",0.04724,0.02502,0.07859,0.15765,0.03645,0.06081,0.0937,0.17198,0.02885,0.08265,0.09846,0.02798,0.02812,0.0302,0.03229
"144",0.02502,0.05409,0.03425,0.06685,0.03183,0.23119,0.11959,0.11583,0.11459,0.02955,0.05864,0.02798,0.02812,0.0302,0.03229
"145",0.02502,0.04777,0.08023,0.06027,0.08638,0.08898,0.03902,0.14826,0.0618,0.19716,0.04652,0.02798,0.02812,0.0302,0.03229
"146",0.05159,0.03254,0.02965,0.02502,0.06592,0.03114,0.11551,0.07627,0.1853,0.21115,0.05731,0.02798,0.02812,0.0302,0.03229
"147",0.07968,0.09685,0.02502,0.06381,0.08459,0.1051,0.16236,0.06236,0.06608,0.04284,0.09271,0.02798,0.02812,0.0302,0.03229
"148",0.1032,0.08098,0.0321,0.10764,0.05219,0.02502,0.15725,0.0495,0.1324,0.03952,0.10162,0.02798,0.02812,0.0302,0.03229
"149",0.10318,0.08083,0.07337,0.09899,0.15146,0.05213,0.04214,0.02502,0.0656,0.04304,0.14565,0.02798,0.02812,0.0302,0.03229
"150",0.0418,0.05042,0.11777,0.0428,0.09555,0.02502,0.13293,0.10659,0.0661,0.07275,0.12968,0.02798,0.02812,0.0302,0.03229
"151",0.11171,0.02502,0.07447,0.04223,0.05907,0.22039,0.03866,0.07475,0.07275,0.05481,0.10753,0.02798,0.02812,0.0302,0.03229
"152",0.05559,0.03102,0.08207,0.12455,0.14961,0.05195,0.05185,0.02502,0.18012,0.07508,0.05456,0.02798,0.02812,0.0302,0.03229
"153",0.03834,0.04104,0.07779,0.13626,0.10751,0.05014,0.05882,0.09402,0.15488,0.02502,0.09758,0.02798,0.02812,0.0302,0.03229
"154",0.0507,0.05325,0.02502,0.11326,0.05268,0.08868,0.05618,0.20511,0.10284,0.10798,0.02569,0.02798,0.02812,0.0302,0.03229
"155",0.03055,0.04694,0.05239,0.03277,0.04698,0.15255,0.06306,0.03403,0.02502,0.3558,0.04133,0.02798,0.02812,0.0302,0.03229
"156",0.08406,0.07843,0.03277,0.06867,0.07735,0.06945,0.17311,0.05865,0.02502,0.06526,0.14863,0.02798,0.02812,0.0302,0.03229
"157",0.06766,0.0423,0.04453,0.05191,0.02502,0.13993,0.04963,0.12531,0.06098,0.0987,0.17543,0.02798,0.02812,0.0302,0.03229
"158",0.053,0.08001,0.06398,0.08422,0.09144,0.05135,0.14148,0.13556,0.08357,0.07177,0.02502,0.02798,0.02812,0.0302,0.03229
"159",0.05318,0.05687,0.05566,0.11261,0.15138,0.07692,0.03466,0.03456,0.22561,0.05494,0.02502,0.02798,0.02812,0.0302,0.03229
"160",0.10541,0.03215,0.13934,0.10857,0.089,0.07696,0.14521,0.02502,0.03177,0.05843,0.06956,0.02798,0.02812,0.0302,0.03229
"161",0.03466,0.10317,0.10081,0.10332,0.10618,0.03945,0.14902,0.04445,0.02502,0.11481,0.06052,0.02798,0.02812,0.0302,0.03229
"162",0.12933,0.03561,0.07015,0.18945,0.10798,0.07552,0.06483,0.0258,0.03919,0.08356,0.05998,0.02798,0.02812,0.0302,0.03229
"163",0.0366,0.03337,0.15696,0.02502,0.11223,0.06985,0.23998,0.09308,0.03889,0.04096,0.03445,0.02798,0.02812,0.0302,0.03229
"164",0.06121,0.043,0.02502,0.02868,0.03221,0.08863,0.24659,0.06885,0.14589,0.03367,0.10766,0.02798,0.02812,0.0302,0.03229
"165",0.05762,0.13389,0.15012,0.05317,0.09926,0.07528,0.08541,0.03194,0.10568,0.02502,0.06402,0.02798,0.02812,0.0302,0.03229
"166",0.09353,0.04832,0.11473,0.09777,0.06569,0.02502,0.1196,0.06711,0.07089,0.12628,0.05248,0.02798,0.02812,0.0302,0.03229
"167",0.08545,0.06055,0.03791,0.04984,0.09094,0.02502,0.23315,0.05749,0.03948,0.14236,0.05924,0.02798,0.02812,0.0302,0.03229
"168",0.08869,0.12174,0.04112,0.06598,0.16242,0.02502,0.07663,0.05453,0.09645,0.0798,0.06903,0.02798,0.02812,0.0302,0.03229
"169",0.05008,0.10432,0.07102,0.03536,0.08326,0.03737,0.02502,0.14748,0.11851,0.11508,0.09391,0.02798,0.02812,0.0302,0.03229
"170",0.11984,0.05192,0.14143,0.17341,0.04054,0.09125,0.04673,0.02502,0.05449,0.09664,0.04013,0.02798,0.02812,0.0302,0.03229
